8508	BULGARIE	56	F	22/10/2014	N	22/10/2014	1735138368	VIBRAYE	3540145326	PULCO	 	 		
8536	CYSTEINE	56	F	18/01/2015	N	18/01/2015	1735138339	URACILE	4427295565	REDONDO	 	 		
8572	CORALIE	56	F	13/10/2015	N	13/10/2015	1735138418	ALINE	5356246849	PLAFOND	 	 		
8580	CAULERPA	56	F	28/10/2015	N	28/10/2015	1735138441	ALGUE	6114595144	ROYAL HOLL	 	 		
8582	CHALOSSE	56	F	20/11/2015	N	20/11/2015	1735138440	ANGEVINE	2833604025	OBBI	 	 		
8587	CLAQUETTE	56	F	22/11/2015	N	22/11/2015	1735138330	UMBA	4425559614	OBERKAMPF	 	 		
8606	DEBBIE	56	F	13/03/2016	N	13/03/2016	1735138274	TOOTSIE	5347531993	RUBAFIX	 	 		
8621	DALLAS	56	F	10/09/2016	N	10/09/2016	1735138406	VIRGINIE	5006519087	ASTRONAUTE	 	 		
8629	DOROTHEE	56	F	01/10/2016	N	01/10/2016	1735138418	ALINE	4923959984	RAISINNOIR	 	 		
8630	DEBACLE	56	F	05/10/2016	N	05/10/2016	1735138388	VIOLENTE	4928834290	RICARDO	 	 		
8641	DEXTROSE	56	F	28/10/2016	N	28/10/2016	1735138479	BIOTINE	5004080148	ROTIN	 	 		
8648	DUCHESSE	56	F	16/11/2016	N	16/11/2016	1735138500	BOURGEOISE	5631826752	ROCOCO	 	 		
8662	DOUMA	56	F	31/12/2016	N	31/12/2016	1735138358	VOLGA	4923959984	RAISINNOIR	 	 		
8664	EUROPE	56	F	13/01/2017	N	13/01/2017	1735138451	ASIE	5004797315	SINGLETON	 	 		
8674	ENIMIE	56	F	25/04/2017	N	25/04/2017	1735138316	USSEL	2247241820	SAINTYORRE	 	 		
8687	EVA	56	F	08/09/2017	N	08/09/2017	1735138418	ALINE	5004151192	PARAPET	 	 		
8688	EQUATEUR	56	M	08/09/2017	N	08/09/2017	1735138218	SAVANE	5005619812	TONIFIANT	B	21/02/2019		
8689	ESSENCE	56	F	10/09/2017	N	10/09/2017	1735138509	BERGAMOTE	5361994516	TRABAN	 	 		
8690	ESTANCIA	56	F	10/09/2017	N	10/09/2017	1735138534	BRASILIA	6110777167	TELERAMA	 	 		
8691	EMEU	56	M	23/09/2017	N	23/09/2017	1735138537	CIGOGNE	6110777167	TELERAMA	B	21/02/2019		
8694	ERQUY	56	M	27/09/2017	N	27/09/2017	1735138368	VIBRAYE	8540941808	TARPAULIN	B	21/02/2019		
8695	ELIE	56	M	28/09/2017	N	28/09/2017	1735138556	CECILIA	4923959984	RAISINNOIR	B	27/04/2019		
8697	ERNEE	56	M	04/10/2017	N	04/10/2017	1735138440	ANGEVINE	2836794161	RAFIOT	B	27/04/2019		
8699	ENERVE	56	M	11/10/2017	N	11/10/2017	1735138388	VIOLENTE	5358657547	TANIS	B	27/04/2019		
8701	ELIANE	56	F	14/10/2017	N	14/10/2017	1735138363	VANESSA	5005619812	TONIFIANT	 	 		
8702	EURASIEN	56	M	22/10/2017	N	22/10/2017	1735138508	BULGARIE	5005619812	TONIFIANT	B	27/04/2019		
8704	EPERVIER	56	M	28/10/2017	N	28/10/2017	1735138567	COLOMBE	2247241820	SAINTYORRE	B	11/07/2019		
8706	EVANGILE	56	M	04/11/2017	N	04/11/2017	1735138555	CATHEDRALE	2247241820	SAINTYORRE	B	27/04/2019		
8707	EVIAN	56	M	16/11/2017	N	16/11/2017	1735138466	ALSACE	7228931906	BOULOIRE	B	11/07/2019		
8708	EVREUX	56	M	17/11/2017	N	17/11/2017	1735138496	BROTONNE	6110777177	TIMBERLAND	B	27/04/2019		
8709	ESTONIE	56	F	19/11/2017	N	19/11/2017	1735138472	ALBANIE	5361994516	TRABAN	 	 		
8711	EBOLI	56	M	21/11/2017	N	21/11/2017	1735138477	BERGAME	3525699213	TONACTIL	B	11/07/2019		
8713	ETANG	56	M	24/11/2017	N	24/11/2017	1735138515	BROUSSE	5357430928	BABOUK	B	11/07/2019		
8717	ENARQUE	56	M	12/12/2017	N	12/12/2017	1735138411	ARROGANTE	4923959984	RAISINNOIR	B	11/07/2019		
8719	EVREST	56	M	15/12/2017	N	15/12/2017	1735138560	CATHARSIS	5361994516	TRABAN	B	11/07/2019		
8720	ESTORIL	56	M	19/12/2017	N	19/12/2017	1735138419	ALICANTE	3547963721	RESTO	B	22/09/2019		
8721	EUSKADI	56	M	24/12/2017	N	24/12/2017	1735138582	CHALOSSE	5361994516	TRABAN	B	11/07/2019		
8722	EPISODE	56	M	28/12/2017	N	28/12/2017	1735138525	BAVARDE	3532853209	BERNE	B	11/07/2019		
8726	FRACAS	56	M	09/01/2018	N	09/01/2018	1735138574	COLLISION	6110777167	TELERAMA	B	11/07/2019		
8727	FRAISIER	56	M	13/01/2018	N	13/01/2018	1735138559	CAMPANULE	5636051335	ROUCOUPS	B	22/09/2019		
8730	FUMET	56	M	31/01/2018	N	31/01/2018	1735138590	CHANEL	6110777167	TELERAMA	B	11/07/2019		
8731	FRIOUL	56	M	01/02/2018	N	01/02/2018	1735138601	DOLOMITE	3525699213	TONACTIL	B	22/09/2019		
8732	FAISAN	56	M	03/02/2018	N	03/02/2018	1735138584	CHOUETTE	4923959984	RAISINNOIR	B	22/09/2019		
8734	FAUSSAIRE	56	M	17/02/2018	N	17/02/2018	1735138602	DORURE	3525699213	TONACTIL	B	22/09/2019		
8739	FAUCON	56	M	15/03/2018	N	15/03/2018	1735138504	BECASSE	3525699213	TONACTIL	B	22/09/2019		
